time (h);250uM Y;time (h);200uM Y;time (h);110uM Y;time (h);100uM Y;time (h);90uM Y
1,083,333,333;0.00901488855102;1,083,333,333;-0.000815366522932;3.0;-0.000497752087347;3.0;3.27E+06;3.0;-0.00173074337949
1,166,666,667;-0.0219522202973;1,083,333,333;0.00143766367995;3,083,333,333;-0.000666345536288;3,083,333,333;-0.000491102853308;3,083,333,333;-0.00191558005108
1,166,666,667;-0.00515418241966;1,083,333,333;0.0396118070715;3,166,666,667;-0.000465639049454;3,166,666,667;-0.000196441141323;3,166,666,667;-0.00127705336739
1,166,666,667;0.00500588083422;1,166,666,667;-0.000846726773814;3.25;-0.000513808606294;3.25;-0.000703914089741;3.25;-0.000201640005377
1.25;-0.0192965259415;1,166,666,667;0.000800428967757;3,333,333,333;-0.000457610789981;3,333,333,333;-9.82E+06;3,333,333,333;-0.0016299233768
1.25;-0.00132177457467;1,166,666,667;0.0446032562602;3,416,666,667;-0.00019267822736;3,416,666,667;-0.00067117389952;3,416,666,667;-0.0014450867052
1.25;0.00823316790499;1.25;0.00128577028616;3.5;-0.000570006422608;3.5;-0.000523843043528;3.5;-0.0014450867052
1,333,333,333;-0.0175298623142;1.25;0.0011617876765;3,583,333,333;-0.000762684649968;3,583,333,333;-0.000523843043528;3,583,333,333;-0.00127705336739
1,333,333,333;-0.00129962192817;1.25;0.0381241049456;3,666,666,667;-0.000473667308927;3,666,666,667;-0.000998575801725;3,666,666,667;-0.000520903347224
1,333,333,333;0.008390946384;1,333,333,333;0.00246177969424;3.75;-0.00102761721259;3.75;-0.000360142092426;3.75;-0.00142828337142
1,416,666,667;-0.0141902981672;1,333,333,333;0.00232746093052;3,833,333,333;-0.000457610789981;3,833,333,333;-0.000327401902205;3,833,333,333;1.68E+06
1,416,666,667;-0.00281338610586;1,333,333,333;0.0580899017004;3,916,666,667;-0.000369299935774;3,916,666,667;-0.000327401902205;3,916,666,667;-0.00183156338218
1,416,666,667;0.0132533922373;1,416,666,667;0.00139553116425;4.0;-0.000578034682081;4.0;-0.000900355231064;4.0;-8.40E+06
1.5;-0.0172563143977;1,416,666,667;0.00102190688602;4,083,333,333;-0.000505780346821;4,083,333,333;-0.000458362663087;4,083,333,333;-0.00047049334588
1.5;-0.00562677221172;1,416,666,667;0.0458406907387;4,166,666,667;-0.000618175979448;4,166,666,667;-0.000785764565292;4,166,666,667;0.00058811668235
1.5;0.0150965317422;1.5;0.00570756566053;4.25;-0.000634232498394;4.25;-0.00062206361419;4.25;-0.00127705336739
1,583,333,333;-0.0207212546731;1.5;0.00210598301226;4,333,333,333;-0.000722543352601;4,333,333,333;-0.000769394470182;4,333,333,333;-0.000201640005377
1,583,333,333;-0.00122577977316;1.5;0.0592856249044;4,416,666,667;-4.01E+06;4,416,666,667;-0.000703914089741;4,416,666,667;-0.00154590670789
